"","estado","situacao","votos","eleicao","ano","turno","total_eleitores"
"1","Rondônia","ABSTENÇÃO",140159,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"2","Acre","ABSTENÇÃO",42488,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"3","Amazonas","ABSTENÇÃO",215431,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"4","Roraima","ABSTENÇÃO",16956,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"5","Pará","ABSTENÇÃO",559053,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"6","Amapá","ABSTENÇÃO",26207,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"7","Tocantins","ABSTENÇÃO",146159,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"8","Maranhão","ABSTENÇÃO",678071,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"9","Piauí","ABSTENÇÃO",259703,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"10","Ceará","ABSTENÇÃO",540435,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"11","R. G. do Norte","ABSTENÇÃO",179334,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"12","Paraíba","ABSTENÇÃO",289537,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"13","Pernambuco","ABSTENÇÃO",553572,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"14","Alagoas","ABSTENÇÃO",242994,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"15","Sergipe","ABSTENÇÃO",101011,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"16","Bahia","ABSTENÇÃO",1182664,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"17","Minas Gerais","ABSTENÇÃO",1033718,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"18","Espírito Santo","ABSTENÇÃO",136287,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"19","Rio de Janeiro","ABSTENÇÃO",555543,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"20","São Paulo","ABSTENÇÃO",1057720,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"21","Paraná","ABSTENÇÃO",526531,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"22","Santa Catarina","ABSTENÇÃO",206503,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"23","R. G. do Sul","ABSTENÇÃO",337488,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"24","M. G. do Sul","ABSTENÇÃO",138741,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"25","Mato Grosso","ABSTENÇÃO",233848,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"26","Goiás","ABSTENÇÃO",304086,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"27","Distrito Federal","ABSTENÇÃO",74579,"Nulos e brancos 1989 Turno 1",1989,1,9778818
"28","Rondônia","ABSTENÇÃO",211747,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"29","Acre","ABSTENÇÃO",56769,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"30","Amazonas","ABSTENÇÃO",306465,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"31","Roraima","ABSTENÇÃO",25986,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"32","Pará","ABSTENÇÃO",914818,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"33","Amapá","ABSTENÇÃO",54545,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"34","Tocantins","ABSTENÇÃO",204873,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"35","Maranhão","ABSTENÇÃO",798266,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"36","Piauí","ABSTENÇÃO",363008,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"37","Ceará","ABSTENÇÃO",881748,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"38","R. G. do Norte","ABSTENÇÃO",236988,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"39","Paraíba","ABSTENÇÃO",471857,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"40","Pernambuco","ABSTENÇÃO",943966,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"41","Alagoas","ABSTENÇÃO",177923,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"42","Sergipe","ABSTENÇÃO",163619,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"43","Bahia","ABSTENÇÃO",1875244,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"44","Minas Gerais","ABSTENÇÃO",1722478,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"45","Espírito Santo","ABSTENÇÃO",294919,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"46","Rio de Janeiro","ABSTENÇÃO",1385814,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"47","São Paulo","ABSTENÇÃO",2361743,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"48","Paraná","ABSTENÇÃO",1002593,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"49","Santa Catarina","ABSTENÇÃO",416859,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"50","R. G. do Sul","ABSTENÇÃO",746740,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"51","M. G. do Sul","ABSTENÇÃO",213895,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"52","Mato Grosso","ABSTENÇÃO",342260,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"53","Goiás","ABSTENÇÃO",500218,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
"54","Distrito Federal","ABSTENÇÃO",147069,"Nulos e Brancos 1994 Turno 1",1994,1,18025852
