"","estado","ano","turno","situacao","quantidade","proporcao"
"1","Acre",1989,1,"VALIDOS",128010,0.700285015618418
"2","Acre",1989,2,"VALIDOS",128010,0.700285015618418
"3","Acre",1994,1,"VALIDOS",166885,0.634153107211528
"4","Acre",1998,1,"VALIDOS",193081,0.605354987380665
"5","Acre",2002,1,"VALIDOS",264889,0.716330526304403
"6","Acre",2002,2,"VALIDOS",234166,0.633247337649343
"7","Acre",2006,1,"VALIDOS",312606,0.37860430190873
"8","Acre",2006,2,"VALIDOS",289495,0.350614039337274
"9","Acre",2010,1,"VALIDOS",345821,0.734937147350413
"10","Acre",2010,2,"VALIDOS",319735,0.679997873245427
"11","Acre",2014,1,"VALIDOS",398891,0.787512832662086
"12","Acre",2014,2,"VALIDOS",382452,0.755055061774217
"13","Alagoas",1989,1,"VALIDOS",861470,0.71149003507607
"14","Alagoas",1989,2,"VALIDOS",861470,0.71149003507607
"15","Alagoas",1994,1,"VALIDOS",689165,0.595653376433677
"16","Alagoas",1998,1,"VALIDOS",720653,0.520853570396068
"17","Alagoas",2002,1,"VALIDOS",1076186,0.672577576789335
"18","Alagoas",2002,2,"VALIDOS",1093911,0.683655064833772
"19","Alagoas",2006,1,"VALIDOS",1340715,0.360506688134953
"20","Alagoas",2006,2,"VALIDOS",1338564,0.359928302806097
"21","Alagoas",2010,1,"VALIDOS",1394079,0.685562161080275
"22","Alagoas",2010,2,"VALIDOS",1374604,0.675973362419216
"23","Alagoas",2014,1,"VALIDOS",1408953,0.706187946488314
"24","Alagoas",2014,2,"VALIDOS",1515298,0.75947896456512
"25","Amapá",1989,1,"VALIDOS",87271,0.738683301733478
"26","Amapá",1989,2,"VALIDOS",87271,0.738683301733478
"27","Amapá",1994,1,"VALIDOS",129252,0.655532507315985
"28","Amapá",1998,1,"VALIDOS",161318,0.756335300929724
"29","Amapá",2002,1,"VALIDOS",233273,0.804109603207159
"30","Amapá",2002,2,"VALIDOS",227573,0.784461273832217
"31","Amapá",2006,1,"VALIDOS",295379,0.409550100661649
"32","Amapá",2006,2,"VALIDOS",272299,0.377549124548686
"33","Amapá",2010,1,"VALIDOS",340740,0.810646847365529
"34","Amapá",2010,2,"VALIDOS",317004,0.754144770179065
"35","Amapá",2014,1,"VALIDOS",389338,0.854996398517243
"36","Amapá",2014,2,"VALIDOS",370078,0.812700936385517
"37","Amazonas",1989,1,"VALIDOS",595869,0.707613145022521
"38","Amazonas",1989,2,"VALIDOS",595869,0.707613145022521
"39","Amazonas",1994,1,"VALIDOS",693841,0.627339273023835
"40","Amazonas",1998,1,"VALIDOS",826810,0.604356165264706
"41","Amazonas",2002,1,"VALIDOS",1111042,0.728682577274489
"42","Amazonas",2002,2,"VALIDOS",1033209,0.677799440813772
"43","Amazonas",2006,1,"VALIDOS",1371508,0.384978001786355
"44","Amazonas",2006,2,"VALIDOS",1336047,0.375016841481242
"45","Amazonas",2010,1,"VALIDOS",1525174,0.752012945966761
"46","Amazonas",2010,2,"VALIDOS",1416940,0.69860603212935
"47","Amazonas",2014,1,"VALIDOS",1677855,0.753878677048746
"48","Amazonas",2014,2,"VALIDOS",1588900,0.713890652386158
"49","Bahia",1989,1,"VALIDOS",4051075,0.687338062434794
"50","Bahia",1989,2,"VALIDOS",4051075,0.687338062434794
"51","Bahia",1994,1,"VALIDOS",3723890,0.529591741537943
"52","Bahia",1998,1,"VALIDOS",3884180,0.489670745722387
"53","Bahia",2002,1,"VALIDOS",5245047,0.612160943781487
"54","Bahia",2002,2,"VALIDOS",5648680,0.659230058765712
"55","Bahia",2006,1,"VALIDOS",6441057,0.353540860695595
"56","Bahia",2006,2,"VALIDOS",6644731,0.364720249615972
"57","Bahia",2010,1,"VALIDOS",6687901,0.700717009235185
"58","Bahia",2010,2,"VALIDOS",6685663,0.700458820510795
"59","Bahia",2014,1,"VALIDOS",6985895,0.686278352632132
"60","Bahia",2014,2,"VALIDOS",7211150,0.708389282413931
"61","C. OESTE",1994,1,"VALIDOS",4127930,0.674009378816675
"62","C. OESTE",1998,1,"VALIDOS",4616266,0.660389701890428
"63","Ceará",1989,1,"VALIDOS",2601856,0.776301271688856
"64","Ceará",1989,2,"VALIDOS",2601856,0.776301271688856
"65","Ceará",1994,1,"VALIDOS",2480413,0.619092117798605
"66","Ceará",1998,1,"VALIDOS",2656103,0.617421250462002
"67","Ceará",2002,1,"VALIDOS",3438374,0.715543948827732
"68","Ceará",2002,2,"VALIDOS",3478752,0.723946825759028
"69","Ceará",2006,1,"VALIDOS",4005498,0.373537022008993
"70","Ceará",2006,2,"VALIDOS",4119997,0.384214749343524
"71","Ceará",2010,1,"VALIDOS",4198511,0.714267413805833
"72","Ceará",2010,2,"VALIDOS",4251299,0.723232415681556
"73","Ceará",2014,1,"VALIDOS",4520232,0.721055609516744
"74","Ceará",2014,2,"VALIDOS",4589321,0.73206155905604
"75","Distrito Federal",2006,1,"VALIDOS",1347805,0.407179541403583
"76","Distrito Federal",2006,2,"VALIDOS",1343145,0.405771728950787
"77","Distrito Federal",2010,1,"VALIDOS",1457059,0.794495681979038
"78","Distrito Federal",2010,2,"VALIDOS",1341973,0.731665335430598
"79","Distrito Federal",2014,1,"VALIDOS",1574514,0.830572607331235
"80","Distrito Federal",2014,2,"VALIDOS",1523856,0.803724062417919
"81","Distrito Federal",1989,1,"VALIDOS",759480,0.885866585795435
"82","Distrito Federal",1989,2,"VALIDOS",759480,0.885866585795435
"83","Distrito Federal",1994,1,"VALIDOS",814438,0.766712450117534
"84","Distrito Federal",1998,1,"VALIDOS",967142,0.762775400753199
"85","Distrito Federal",2002,1,"VALIDOS",1208415,0.796625130692628
"86","Distrito Federal",2002,2,"VALIDOS",1249193,0.822683456738739
"87","Espirito Santo",2006,1,"VALIDOS",1800394,0.385336365694933
"88","Espirito Santo",2006,2,"VALIDOS",1816311,0.388743063858094
"89","Espirito Santo",2010,1,"VALIDOS",1925891,0.763639124802587
"90","Espirito Santo",2010,2,"VALIDOS",1879469,0.745208304917544
"91","Espirito Santo",2014,1,"VALIDOS",1973219,0.744155744731242
"92","Espirito Santo",2014,2,"VALIDOS",1975973,0.745165409371413
"93","Espírito Santo",1989,1,"VALIDOS",1183570,0.840747599553617
"94","Espírito Santo",1989,2,"VALIDOS",1183570,0.840747599553617
"95","Espírito Santo",1994,1,"VALIDOS",1190822,0.696090380182951
"96","Espírito Santo",1998,1,"VALIDOS",1258011,0.656279148868685
"97","Espírito Santo",2002,2,"VALIDOS",1590666,0.741076906949928
"98","Espírito Santo",2002,1,"VALIDOS",1611996,0.751014361088787
"99","Goiás",1989,1,"VALIDOS",1769511,0.804335978072378
"100","Goiás",1989,2,"VALIDOS",1769511,0.804335978072378
"101","Goiás",1994,1,"VALIDOS",1736129,0.662114712003408
"102","Goiás",1998,1,"VALIDOS",1891401,0.641385084498388
"103","Goiás",2002,1,"VALIDOS",2540283,0.754723029679296
"104","Goiás",2002,2,"VALIDOS",2495306,0.741360275330318
"105","Goiás",2006,1,"VALIDOS",2846061,0.381081949608817
"106","Goiás",2006,2,"VALIDOS",2711291,0.363036512652694
"107","Goiás",2010,1,"VALIDOS",3082793,0.759512154981433
"108","Goiás",2010,2,"VALIDOS",2936546,0.723460394951698
"109","Goiás",2014,1,"VALIDOS",3226552,0.745190693222881
"110","Goiás",2014,2,"VALIDOS",3183745,0.735287528764886
"111","M. G. do Sul",1989,1,"VALIDOS",820163,0.818336472992281
"112","M. G. do Sul",1989,2,"VALIDOS",820163,0.818336472992281
"113","M. G. do Sul",1994,1,"VALIDOS",805950,0.694153760290219
"114","M. G. do Sul",2002,1,"VALIDOS",1076108,0.762238688514372
"115","M. G. do Sul",2002,2,"VALIDOS",1077135,0.762966142573912
"116","M. G. do Sul",2006,1,"VALIDOS",1222462,0.391518344125377
"117","M. G. do Sul",2006,2,"VALIDOS",1191457,0.381588361631355
"118","M. G. do Sul",2010,1,"VALIDOS",1301849,0.76538292398431
"119","M. G. do Sul",2010,2,"VALIDOS",1237588,0.727573944181557
"120","M. G. do Sul",2014,1,"VALIDOS",1351405,0.743547081695792
"121","M. G. do Sul",2014,2,"VALIDOS",1353068,0.744447323783099
"122","M. G. do Sul",1998,1,"VALIDOS",849670,0.676000690584108
"123","Maranhão",1989,1,"VALIDOS",1299262,0.605899591111907
"124","Maranhão",1989,2,"VALIDOS",1299262,0.605899591111907
"125","Maranhão",1994,1,"VALIDOS",1261715,0.48240930319697
"126","Maranhão",1998,1,"VALIDOS",1513709,0.506726124142308
"127","Maranhão",2002,1,"VALIDOS",2062392,0.608210699347699
"128","Maranhão",2002,2,"VALIDOS",2102439,0.619903961485525
"129","Maranhão",2006,1,"VALIDOS",2818598,0.359459298149675
"130","Maranhão",2006,2,"VALIDOS",2694628,0.343649250320358
"131","Maranhão",2010,1,"VALIDOS",2943779,0.681312356101305
"132","Maranhão",2010,2,"VALIDOS",2900595,0.671340009095948
"133","Maranhão",2014,1,"VALIDOS",3144929,0.699516044079625
"134","Maranhão",2014,2,"VALIDOS",3143279,0.699142975282162
"135","Mato Grosso",1989,1,"VALIDOS",740275,0.720131482180449
